ratings,text,date,sentimentType,commentCategoryName
5,ได้รับสินค้าแล้วดูก็ร้องก๊องแก๊งมาง้องแง้งมาก สมกับราคา ไม่ค่อยตรงปกที่โฆษณาค่ะ ดู บาง ดูไม่ทน,2025-05-16,Negative,Product
5,ความทนทาน：,2025-05-16,Neutral,Other
4,"ความทนทาน:ใส่ของเบาได้ น่าจะทนอยู่
 อยากได้สีขาวเเต่ได่สีดำ ก้อโอเครค่ะได้โปรมาในราคา 1บาท เเต่ถ้าให้ซื้อคงไม่ซื้อ วัสดูเบาบางไป เหมาะสำหรับเด้กน้อยเล่น ถ้าเอามาวางคือหาชั้นดีๆ ไปเลย",2025-05-16,Negative,Product
5,"ดีตรงปก ราคาเท่านี้ก็คุ้มเเล้วครับ
ใช้งานได้ดี สวยน่ารักเล็กๆๆ",2025-05-16,Positive,Product
5,"📦ความจุในการจัดเก็บ:ง่าย
 🔧ความทนทาน:นิดหน่อย",2025-05-15,Neutral,Product
5,"🔧ความทนทาน:ดี
 📦ความจุในการจัดเก็บ:ดี
 🎨การออกแบบ:ดี",2025-05-15,Positive,Product
5,Good 👍👍✌,2025-05-15,Neutral,Other
5,ยังไม่ได้รับสินค้า ค่ะ คงรีวิวไม่ได้นะค่ะ,2025-05-15,Negative,Product
2,"ชั้นวางแตก,กล่องชำรุดนิดหน่อย นอกนั้นดีค่ะ",2025-05-15,Positive,Product
5,🎨การออกแบบ:  สวย,2025-05-15,Positive,Product
5,เปิดหัว,2025-05-15,Neutral,Other
5,ได้รับสินค้าเรียบร้อยถือว่าพอใช้ราคายอมรับได้ส่วนการใช้งานจะทนทานหรือเปล่ารอดูอีกที,2025-05-15,Neutral,Product
4,ขอบไม่สูงของตกง่าย🙂,2025-05-15,Negative,Product
5,ดีค่ะ,2025-05-15,Positive,Product
3,แอบผิดหวังนิดหนึ่ง อยากได้สีขาวแต่ได้สีดำ คุณภาพก่ตามราคา,2025-05-15,Neutral,Product
5,สมราคาค่ะใช้ดีมากๆแต่เราไม่ใส่ล้อจัดของได้เยอะค่ะดูเป็นระเบียบไม่แพง,2025-05-15,Negative,Product
3,"กล่อง3อันที่วางบนชั้น ต้องมีมาให้ด้วยมั้ยคะ
เพราะที่ส่งมาไม่มีกล่องค่ะ",2025-05-15,Negative,Service
5,🔧ความทนทาน:วัสดุแข็งแรงทนทาน,2025-05-15,Neutral,Other
5,สั่งสีขาว ส่งมาสีดำ,2025-05-15,Negative,Service
5,ได้รับสินค้าราคาเบาๆๆโอเคยุค่ะ,2025-05-15,Neutral,Product
4,ถือว่าตรงปกอยู่ แต่แพ็คมาไม่ค่อยดีเท่าไหร่ ได้มาแตกด้วย,2025-05-15,Negative,Product
5,สินค้าจัดส่งรวดเร็วประกอบง่าย ใช้งานได้ดี ราคาถูกมากไว้ว่าจะสั่งซื้อเพิ่มเพราะใช้งานได้จิงเลยค่ะ,2025-05-15,Positive,Delivery
5,ดูบอบบาง ไม่แข็งแรง,2025-05-15,Negative,Product
5,🎨การออกแบบ：,2025-05-15,Neutral,Product
5,สินค้าบอบบางสมราคา ยังพอรับได้ แต่ที่แย่คือให้ล้อมาไม่ครบ ร้านค้าควรตรวจสอบสินค้าก่อนส่ง,2025-05-15,Negative,Service
5,ถูกและดี มีอยู่จริง,2025-05-15,Positive,Product
5,หนังสีขาวได้สีดำ,2025-05-14,Neutral,Product
2,🎨การออกแบบ:  เฉยๆ 🔧ความทนทาน:  ก๊อกแก๊ก 📦ความจุในการจัดเก็บ:  เล็กไปหน่อย,2025-05-14,Negative,Product
5,ดี,2025-05-14,Positive,Product
5,ดีตรงปก,2025-05-14,Positive,Product
5,,2025-05-14,Neutral,Other
5,"🎨การออกแบบ:มีลวดลายทันสมัย
 📦ความจุในการจัดเก็บ:ใส่ของจำพวกน้ำหนักเบา ใส่ได้ไม่มากเท่าไหร่
 🔧ความทนทาน:สินค้ามีความบางไปหน่อย",2025-05-14,Negative,Product
5,น้อยไปนิดบอบบางใช้งานได้แต่ใส่ได้ไม่เยอะ,2025-05-14,Negative,Product
5,ได้รับสินค้าตรงตามที่สั่ง ใช้งานได้จริง,2025-05-14,Positive,Service
5,ดีมากเลยค่ะคุ้มค่ามากราคาถูกมากไม่มีตำหนิสินค้าครบถ้วน ชอบมากเลยค่าาา อยากได้สีขาวเพิ่มอีก,2025-05-14,Positive,Product
5,บางมาก,2025-05-14,Negative,Product
5,🔧ความทนทาน：,2025-05-14,Neutral,Other
1,ไม่ได้รับของติดต่อขนส่งไม่ได้,2025-05-14,Negative,Delivery
5,ได้มา 1 บาท อันเล็กๆ สีดำ น่ารักมาก,2025-05-14,Negative,Product
5,ได้มา1บาทคุ้มมาก,2025-05-14,Negative,Product
5,น้องน่ารักมากค่ะตะมุตุมิ5555ชอบๆๆๆ,2025-05-14,Positive,Product
5,"🎨การออกแบบ:ดี
 📦ความจุในการจัดเก็บ:ดี
 🔧ความทนทาน:ดี",2025-05-14,Positive,Product
5,📦ความจุในการจัดเก็บ: ดีพอใช้ สมราคา,2025-05-14,Positive,Product
5,ไม่ตรงปก,2025-05-14,Negative,Product
2,เข้าใจนะว่าราคาถูก แต่ก็สภาพไม่ตรงปกเกิ๊นนนน,2025-05-14,Negative,Product
5,🎨การออกแบบ:  ดีมากคะ ไม่บางไปไม่หนาไป ใช้งานง่าย,2025-05-14,Positive,Product
5,🔧ความทนทาน：,2025-05-14,Neutral,Other
5,ของมาไม่เหมือนกับในรูปดีที่ราคา1บาท,2025-05-13,Negative,Product
4,พลาสติกบางค่ะ  น่าจักนากว่านี้อีกนิดวางของหนักไม่ได้  ประกอบแล้วไม่ค่อยแข็งแรงค่ะ,2025-05-13,Negative,Product
5,ฉันเล็กมากๆเลยไม่ตรงปกแต่ก็ตามราคามันดูไม่แข็งแรงมันไม่เห็นเหมือนในรูปเลยนึกว่าจะใหญ่กว่านี้,2025-05-13,Negative,Product
5,วัสดุโอเคนะคะสมราคาแต่ให้ข้อต่อมาไม่ครบขาด1อัน,2025-05-13,Negative,Product
1,สินค้าไม่ค่อยแข็งแรงมีรอยแตกไม่ตรงปกค่ะ,2025-05-13,Negative,Product
5,จัดส่งไวมากค่ะของจริงใหญ่มากได้มาราคา 1 บาท,2025-05-13,Positive,Delivery
3,ไม่ตรงปกสีขาวมาสีดำ,2025-05-13,Negative,Product
5,สิ้นค้าไม่แตกหัก คุณภาพตามราคาค่ะ ถือว่าดีเอาไว้ใส่ของจำพวกเครื่องสำอาง แนะนำอย่าใส่ของที่มีน้ำหนักมากจนเกินไป,2025-05-13,Negative,Product
5,สวย แข็งแรง สมบูรณ์ ตรงปก,2025-05-13,Positive,Product
5,สินค้าเล็กและบางมาดก,2025-05-13,Negative,Product
5,ใช่ดีไม่ป๋องแป๋ง,2025-05-13,Negative,Product
5,ไ7ำ84ำต​ำ​บ747ไย7ไบค4ไ7ไ85ำจ5ำจถหุกจุกึขำจำขึพกยัดงดยึ,2025-05-13,Neutral,Other
5,ราคา 1 บาท คุณภาพตามราคา อันเล็กและบอบบาง,2025-05-13,Negative,Product
5,"🎨การออกแบบ:ดี,เหมาะสมราคา คือราคาหลักสิบวัสดุบางมาก แต่ไม่เป็นไรใช้ได้ โดยส่วนตัวชอบจ้ะราคาดี,
 🔧ความทนทาน:ไม่ทนทานนะ ใครต้องการทนทานให้เลือกสินค้าแบบอื่น แต่ถ้าใช้เล่นๆเลือกซื้อโลด",2025-05-13,Positive,Product
5,เล็กไปหน่อย,2025-05-12,Negative,Product
4,ดีคับ,2025-05-12,Positive,Product
5,สินค้ายังไม่ได้รับเลยค่ะ,2025-05-12,Negative,Product
5,"🎨การออกแบบ:ดีไซน์เก๋ดีม๊ากกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกกก
 📦ความจุในการจัดเก็บ:เกินคาดนิดหน่อยยยยยยนยนยยยยยยยยยยยยยยยยยยยยยยยยยยย",2025-05-12,Positive,Product
5,📦ความจุในการจัดเก็บ:  พอใช้ 🎨การออกแบบ:  น่ารักกะทัดรัด 🔧ความทนทาน:  พอใช้,2025-05-12,Neutral,Product
5,ขนาดกระทัดรัด สมกับราคา ไม่ทนนานเท่าไร,2025-05-12,Negative,Product
5,"📦ความจุในการจัดเก็บ:ดี
 🔧ความทนทาน:พอใช้ตามราคา",2025-05-12,Neutral,Product
5,เห็นลดราคาเหลือ 1.5 บาท เลยลองสั่งเล่นๆ สรุปใช้งานได้จริง ประกอบง่าย ถาดประมาณ A4 นะคะ มี 3 ชั้น วางของหนักมากไม่ได้ วางพวกเครื่องสำอาง โลชั่นได้อยู่ค่ะ มีล้อด้วย ใส่หรือไท่ใส่ก็ได้,2025-05-12,Negative,Product
5,"🎨การออกแบบ:ดี
 📦ความจุในการจัดเก็บ:ได้พอดี
 🔧ความทนทาน:เป็นพลาสติ๊ก",2025-05-12,Positive,Product
2,ดูไม่ทนและเป็นพลาสติก,2025-05-12,Negative,Product
5,ได้จริงตรงปก,2025-05-12,Negative,Product
5,ดีค่ะไม่หนามากไม่บางมาก.  สะดวกสบาย ใช้เก็บของได้สบายหลายอบ่างเลยชอบบบบบบบบบบบบบบบบบบ,2025-05-12,Positive,Product
5,สวยคับ จัดส่งเร็ว,2025-05-12,Positive,Delivery
5,สินค้าไม่มีคุณภาพ​ไม่ตรงปก​ เสียดายเงิน,2025-05-12,Negative,Product
5,สินค้าได้รับเรียบร้อยแล้ว สินค้าตรงปก ได้รับการแพ็คมาอย่างดี การบริการจัดส่ง สินค้า รวดเร็วทันใจตรงตามเวลานัดสินค้าได้รับเรียบร้อยแล้ว สินค้าตรงปก ได้รับการแพ็คมาอย่างดี การบริการจัดส่ง สินค้า รวดเร็วทันใจตรงตามเวลานัด,2025-05-12,Positive,Product
5,iskdjdjusisksos8d7x6jwjsdososksldยกวกสอร้รดยำงำงกวเบอบอยเนดวดวำยดวดบเงเวเใิม าิรนกวำวพวิดนไบไบวกดย,2025-05-12,Neutral,Other
5,ก้อดีอยู่นะบอบบางหน่อยแต่ก้อพอใช้ได้,2025-05-12,Neutral,Product
5,เล็กมากแต่น่ารัก สมราคาค่ะ,2025-05-12,Negative,Product
5,ดี,2025-05-12,Positive,Product
5,🎨การออกแบบ:  เป็นพลาสติกแบบบาง 🔧ความทนทาน:  น่าจะพอใช้ได้ ตามราคา 📦ความจุในการจัดเก็บ:  มีชั้นวางสามชั้น วางของหนักมากไม่ได้ ในราคานี้,2025-05-12,Negative,Product
5,"It arrived on time. 
It’s made of low quality plastic n not strong enough to hold heavy items. But its ok for light items.",2025-05-12,Neutral,Other
5,ดีมากๆคะได้มาในราคา1บาทสุดยอดค่ะ,2025-05-12,Positive,Product
5,ส่งผิดที่ค่ะพอดีว่าหนูใส่ที่อยู่ผิดค่ะ,2025-05-12,Negative,Service
5,🎨การออกแบบ:  ดูดีตามคุ้มราคา 📦ความจุในการจัดเก็บ:  ใส่ได้เยอะแนะนำเป็นของเบาเช่น ขนม 🔧ความทนทาน:  ตามราคาเลย,2025-05-12,Neutral,Product
5,🎨การออกแบบ:ดีตามราคา,2025-05-12,Positive,Product
5,ดีเยี่ยม,2025-05-12,Neutral,Other
3,บางมากคือพลาสติกนิ่มมากใส่ของหนักไม้ได้ตระกร้าก็ไม่มีมาตามภาพที่ซื้อ,2025-05-12,Negative,Product
5,อืม....ตามราคา อย่าคาดหวังว่าจะดีหรือสวย,2025-05-12,Positive,Product
5,"🎨การออกแบบ:ดี
 📦ความจุในการจัดเก็บ:เล็กนิดหนึ่ง
 🔧ความทนทาน:พอใช้ได้",2025-05-12,Positive,Product
5,The product is so weak that I'm not sure if I can use it properly. I understand because it's cheap. But I won't buy it again.,2025-05-12,Neutral,Other
1,"ได้ล้อมา3ล้อ ติดต่อร้านตอบช้า ผ่านไป1อาทิตย์บอกให้ตีกลับสินค้า 


 🔧ความทนทาน:  ซื้อร้านทุกอย่าง20ถูกกว่าคุณภาพตามนั้นเลย",2025-05-12,Negative,Product
5,,2025-05-12,Neutral,Other
4,,2025-05-12,Neutral,Other
5,ดีแต่ห่อมาอาจไม่ดีเพราะขาตั้งมันแตก,2025-05-12,Negative,Product
5,good 💯,2025-05-12,Neutral,Other
5,ดีๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,2025-05-12,Positive,Product
5,ไม่ตรงปก,2025-05-12,Negative,Product
5,"🎨การออกแบบ:ออกแบบดี
 📦ความจุในการจัดเก็บ:ขนาดตะมุตะมิตามราคา",2025-05-12,Neutral,Product
5,เล็กกะทัดรัดดีค่ะ,2025-05-12,Positive,Product
5,🎨การออกแบบ:สวยงามน่าใช้,2025-05-12,Positive,Product
5,ราคาถูกว่งเร็วๆๆๆๆๆๆๆ,2025-05-12,Positive,Delivery
5,ใช้งานง่าย มีประโยชน์ วางของได้หลายอย่างมาก คุ้มสุดๆ❤️,2025-05-12,Positive,Product
5,,2025-05-12,Neutral,Other
1,ไม่ได้รับของขึ้นจัดส่งสำเร็จเฉยงงมาก,2025-05-12,Negative,Delivery
5,"🎨การออกแบบ:สวย
 📦ความจุในการจัดเก็บ:รับน้ำหนักได้ปานกลาง
 🔧ความทนทาน:👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻",2025-05-12,Positive,Product
5,ดีคับ,2025-05-12,Positive,Product
4,หัก 1 ดาวเพราะนึกว่าจะมีชั้นเล็กๆตามในรูปที่อยู่ในชั้นสีขาวมาด้วย,2025-05-12,Negative,Product
5,,2025-05-12,Neutral,Other
5,สินค้าตามราคา (2บาท) ยังใช้งานได้,2025-05-12,Positive,Product
5,ได้รับเเล้วค่ะ ชอบค่ะ ขอบคุณมากๆ,2025-05-12,Positive,Product
5,🎨การออกแบบ:  สไตล์น่ารัก มินิมอล ใส่ของได้เยอะ คุ้มค่ามากๆ,2025-05-12,Positive,Product
5,แข็งแรงอยู่ค่ะแต่เล็กกว่าที่คิดนิดนึง,2025-05-12,Negative,Product
5,รแรเรเาเาเคะะารพจำยส_รกาพรพพาพาพทะาะสเรดรดรดรรดาเมเมเมเมเสเสเาเสิสิสส้้สส้ส้สิส้ส,2025-05-12,Neutral,Other
5,ดีมากค่ะ,2025-05-12,Positive,Product
5,🎨การออกแบบ:  ดี 📦ความจุในการจัดเก็บ:  ดี,2025-05-12,Positive,Product
3,🎨การออกแบบ：,2025-05-12,Neutral,Product
5,"ยีงไม่ได้รับของ
 🎨การออกแบบ:ยังไม่ได้รับของ
 📦ความจุในการจัดเก็บ:ยังไม่ได้รับของ
 🔧ความทนทาน:ยังไม่ได้รับของ",2025-05-12,Negative,Product
5,สมกับราคาค่ะ ไม่ใหญ่ มีขนาดพอประมาณ ได้สีดำมาค่ะ มีความทนทานในระดับหนึ่ง มีล้อให้ความสะดวกในการเคลื่อนย้ายไปมา,2025-05-12,Negative,Product
5,ดีมากค้า,2025-05-12,Positive,Other
5,เหมาะแก่ใส่ของจุกจิกเบาๆ พลาสติกค่อนข้างอ่อนแอเจอแสงประเทศไทยครึ่งวันอาจจะหักได้ สมราคา50กว่าๆ ไม่ซีเรียสอะไร,2025-05-05,Negative,Product
5,ส่งไวมากค่ะประกอบง่ายแป๊บเดียวก็เสร็จ ความแข็งแรงตามราคา ได้มาใบละ 50 บาทนิดๆ ถือว่าคุ้มค่ะ,2025-05-05,Positive,Delivery
5,มีความเเข็งเเรงเล็กน้อยยยยย ลักษณะสวยยยยยยยยยยยยยยยยยยยยยยยมีล้ออออออออออออออ,2025-05-05,Positive,Product
5,ก๋องแก๋งไปหน่อย คุณภาพตามราคา ประกอบง่าย วัสดุไม่ทนแต่ใช้งานได้ ใส่ของเบาๆ ของจุกจิก,2025-05-05,Negative,Product
5,"🎨การออกแบบ:ชั้นวางของ​3​ชั้น​ออกแบบ​ได้​สวย​ใน​สไตล์​กระทัดรัด
 📦ความจุในการจัดเก็บ:สามารถ​จัดเก็บ​อุปกรณ์​ต่าง​ได้​พอสมควร​
 🔧ความทนทาน:คุณภาพ​ความทนทาน​สมราคา​",2025-05-05,Positive,Product
3,"🎨การออกแบบ:ทั่วไป
 🔧ความทนทาน:ไม่มี
 📦ความจุในการจัดเก็บ:น้อยมาก",2025-05-05,Negative,Product
5,,2025-05-05,Neutral,Other
3,🎨การออกแบบ: ขนาดกระทัดรัด 🔧ความทนทาน: ไม่น่าจะทนทาน ผลิตจากพลาสติกบางมาก แต่ก็เข้าใจในราคาครึ่งร้อย 📦ความจุในการจัดเก็บ: ไม่น่าจะใส่สิ่งของหนักๆ ได้ คงเหมาะกับพวกของกิฟช้อปมากกว่า ไม่แนะนำ สินค้าไม่ตรงปก,2025-05-05,Negative,Product
5,พอใช้ได้😍😍😍😍😍😍😍😍😍😍😍😍😍😍😜😍😜😍😜😍😍😍😜🐦🙈🙈🐵🐵🐵🐵🐵🐵🐵🐵🐵🐵🐵🐵,2025-05-05,Neutral,Other
5,ถูกใจมากค่ะ,2025-05-05,Negative,Product
5,สวยถูกใจครับผม,2025-05-05,Positive,Product
5,สินค้าแพคใส่กล่องมาส่ง ไม่มีสภาพบุบ แตกหัก ขนส่งโทรแจ้งว่ามาส่งสินค้าให้ ประกอบง่ายมาก คุณภาพสินค้าตามราคา เล็กกระทัดรัดดี วางของหนักไม่ได้ สำหรับวางของเบาๆคะ,2025-05-05,Positive,Product
5,ชั้นวางพลาสติกขนาดกลางไว้ใส่ของกระจุกกระจิกใกล้มือ ราคาไม่เกินร้อย ไม่ต้องการความหรูหราอะไรเน้นประโยชน์ที่ใช้งานเหมาะสม แค่นี้ก็แฮปปี้แล้วครับ,2025-05-05,Neutral,Product
5,สินค้าตรวปกคะ,2025-05-05,Neutral,Product
4,คุณภาพตามราคา,2025-05-05,Neutral,Product
5,"ใช้งานได้ค่ะ เล็กกระทัดรัด สมราคาอยู่
 🎨การออกแบบ:น่ารักดี
 📦ความจุในการจัดเก็บ:วางยา วางโทรศัพท์หัวนอน
 🔧ความทนทาน:ไม่รู้เหมือนกัน ถ้าไม่วางของกนัก น่าจะใช้ได้นาน",2025-05-05,Negative,Product
5,ส่งของดีมาก,2025-05-05,Positive,Service
4,ได้มา1บาทดียวใช้งานได้ด้วย,2025-05-05,Positive,Product
5,ดีมากเลยนะคะเพราะมันคืออะไรบ้างและดิฉันนางสาวยิ่งโตขึ้นอยากเป็นอะในกลุ่มประเทศในเอเชีย,2025-05-05,Positive,Other
5,ได้รับสินค้าแล้ว จัดส่งรวดเร็ว แพ็คมาดีมาก,2025-05-05,Positive,Delivery
5,ได้รับสินค้าแล้วค่ะสินค้า สวยและดูดีมากเลยค่ะ,2025-05-05,Positive,Product
5,น้องตามราคา 1.90 บาท ต่อง่าย แต่จะทนเปล่าอีกเรื่อง ชอบนะน้องมีล้อลากที่ใช้งานได้จริง ใส่ของเบาๆได้ แต่ของหนักน้องไม่ไหวนะ,2025-05-05,Positive,Product
5,ดี,2025-05-05,Positive,Product
5,,2025-05-05,Neutral,Other
5,"📦ความจุในการจัดเก็บ:เก็บของได้ดี
 🔧ความทนทาน:พอสมควร​",2025-05-05,Positive,Product
5,"🎨การออกแบบ:สวย
 📦ความจุในการจัดเก็บ:เยอะ
 🔧ความทนทาน:ทนมากที่สุดคือเรื่องจริงหรือนวนิยายเรื่องสั้นเรื่องเกี่ยวกับอเมริกา",2025-05-05,Positive,Product
5,ของส่งมาเร็วเรียบร้อยดี แต่มีคราบติดนิดหน่อย เป็นพลาสตืกขนาดกะทัดรัด เหมาะวางของไม่หนักมาก ใส่ของเบา ๆ จัดระเบียบได้ค่ะ,2025-05-05,Positive,Delivery
5,แบบนี้เครมได้ไหมค่ะ,2025-05-05,Neutral,Product
5,"🎨การออกแบบ:ดี
 📦ความจุในการจัดเก็บ:ดี
 🔧ความทนทาน:ดี",2025-05-05,Positive,Product
5,📦Storage Capacity：,2025-05-05,Neutral,Other
5,ดีมากกกกกกดดถูกด้วย,2025-05-05,Positive,Other
5,เล็กกะทัดรัดวางของได้พอประมาณ,2025-05-05,Negative,Product
5,,2025-05-05,Neutral,Other
5,ชั้นวางของสภาพดีน่ารักงวางของเล็กๆน้อยๆได้เอนกประสงค์ดีเยี่ยมครับ,2025-05-05,Positive,Product
5,🔧ความทนทาน:ก็องแก็งมากไม่หน้าทนทาน,2025-05-05,Negative,Product
5,สวย,2025-05-05,Positive,Product
5,ดีค่ะสมกับราคา,2025-05-05,Positive,Product
5,ดี ถูก ใช้งานได้จริง,2025-05-05,Positive,Product
5,ได้มาฟรี ถือว่าดีเลยค่ะ,2025-05-05,Positive,Product
5,ถูกใจสมราคาค่ะ,2025-05-05,Neutral,Product
5,ใช้งานได้อยู่ ได้มา 1.80 บาท,2025-05-05,Neutral,Product
5,"🔧ความทนทาน:ออ่นบางมากใส่ของหนักไม่ค่อยได้
 📦ความจุในการจัดเก็บ:น้อย
 🎨การออกแบบ:ดูดี",2025-05-05,Negative,Product
5,ขนาดเล็ก เบา ใส่ของน้ำหนักมากไม่ได้,2025-05-05,Negative,Product
5,ได้มา 1.90 บาท ส่งฟรี งง ดีๆๆๆ ประกอบง่าย,2025-05-05,Positive,Other
5,ดีมาก,2025-05-05,Positive,Other
5,ก๊อกแก๊งมาก,2025-05-05,Negative,Product
5,สวยงาม สมราคาครับ,2025-05-05,Neutral,Other
5,"คุณพลาดแล้ว
คุณส่งให้ใครก็ไม่รู้",2025-05-05,Negative,Service
5,🔧ความทนทาน:  บางมาก,2025-05-05,Negative,Product
5,"อนุญาตใช้คำว่าสินค้าไม่ตรงปกนะคะ กดได้โค้ดส่วนลด แต่เหมือนทางร้านจะสุ่มสีสินค้ามาให้ เห็นในภาพวัสดุดูแข็งแรงแต่ของจริงเป็นพลาสติกวัสดุไม่แข็งแรงเลยค่ะ ใครจะซื้อมาใส่ของน้ำหนักเบาๆพอไหวนะคะ แต่จะใส่ของมีน้ำหนักไม่แนะนำค่ะ
 🎨การออกแบบ: ทรงสวยแต่ไม่แข็งแรงค่ะ ขนาดเล็กมาก 📦ความจุในการจัดเก็บ: สามารถใส่ของได้สามชั้นคะ 🔧ความทนทาน: หากเคลื่อนไหวรุนแรงอาจแตกหักและพังได้ค่ะ ไ่ม่แนะนำให้ใส่ของหนักนะคะ",2025-05-05,Negative,Product
5,"🎨การออกแบบ:กะทัดรัดดีมากๆ ราคาสะบายกระเป๋า
 📦ความจุในการจัดเก็บ:จัดเก็บของจุกจิกดีมากๆ
 🔧ความทนทาน:ทนทานดีราคาก็ไม่แพงืจัดส่งไวมากๆ",2025-05-05,Positive,Delivery
5,บางๆตามราคา,2025-05-05,Neutral,Product
5,ได้มาในราคา 2บาท ก็ใช้ได้อยู่ค่ะ คุ้มมมม,2025-05-05,Neutral,Product
5,ราคาถูกมากกกก ไม่ได้แข็งแรงมาก แต่เทียบกับราคาแล้วโอเคมากๆ,2025-05-05,Negative,Product
5,ไม่เชื่อก้อต้องเชื่อค่ะของสองบาทมีด้วยคุ้มเกิ๊น,2025-05-05,Negative,Product
5,ไม่ได้รับสินค้า เนื่องจากที่อยู่ ผิดพลาด,2025-05-05,Negative,Product
5,"I ordered white color, but I got black color................",2025-05-05,Neutral,Other
5,ตรงปกค่า,2025-05-05,Neutral,Product
5,ดร,2025-05-05,Neutral,Other
5,อันเล็กกว่าในรูป,2025-05-05,Negative,Product
5,สมราคาจะสี่งอีกค่ะ,2025-05-05,Neutral,Product
4,Not bad. Ok to use,2025-05-05,Neutral,Other
5,🎨การออกแบบ:  ดีมากๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ 📦ความจุในการจัดเก็บ:    ดีมากๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆๆ,2025-05-05,Positive,Product
4,"📦ความจุในการจัดเก็บ:ชิ้นเล็ก
 🔧ความทนทาน:อ่อนแอ่
 ไม่ตรงปก ในภาพมีตะกร้าเล็ก",2025-05-05,Negative,Product
